@relation KI_Test_sarcasm-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z10.0-no-replacement-V

@attribute chars numeric
@attribute UPPERCASE numeric
@attribute LOWERCASE numeric
@attribute dot numeric
@attribute comma numeric
@attribute '?' numeric
@attribute ! numeric
@attribute '\'' numeric
@attribute ` numeric
@attribute amount_adjective.txt numeric
@attribute amount_adverb.txt numeric
@attribute amount_article.txt numeric
@attribute amount_comparative.txt numeric
@attribute amount_conjunction.txt numeric
@attribute amount_interjection.txt numeric
@attribute amount_nouns.txt numeric
@attribute amount_numeral.txt numeric
@attribute amount_superlative.txt numeric
@attribute amount_verbs.txt numeric
@attribute profanity_prob.txt numeric
@attribute class {ironisch,normal}

@data
406,9,305,5,6,0,0,0,0,10,7,3,0,4,0,18,1,1,13,0.078466,normal
1079,51,742,14,15,2,3,9,2,11,15,13,0,6,0,59,0,3,34,0.057071,normal
1341,27,1007,11,3,0,0,4,4,19,14,26,1,12,0,60,2,0,48,0.004656,ironisch
619,18,448,6,5,0,1,3,2,10,9,14,0,5,0,35,3,0,17,0.039114,ironisch
584,18,410,6,7,0,0,6,4,3,16,9,0,4,0,20,0,0,22,0.015901,ironisch
1310,27,943,11,5,0,0,14,0,18,17,28,0,13,1,62,0,0,45,0.15901,normal
2259,76,1649,22,21,1,0,5,0,32,31,34,4,20,0,102,6,1,71,0.070209,normal
3698,70,2773,24,54,0,0,16,0,46,39,75,2,27,0,157,3,1,121,0.005196,normal
341,11,256,2,0,0,2,0,0,11,2,3,0,2,0,24,0,1,6,0.010431,normal
644,23,477,9,5,2,0,0,0,8,7,11,3,5,0,22,0,0,23,0.05114,normal
469,14,326,7,6,0,0,3,0,12,8,5,0,3,0,23,2,0,14,0.012303,normal
464,7,349,6,2,0,0,0,0,4,7,11,0,5,0,19,0,0,17,0.011213,normal
449,19,322,8,2,0,2,2,0,8,3,9,0,5,0,24,0,1,15,0.054744,normal
512,7,381,6,2,0,0,5,0,5,10,9,0,3,0,16,0,0,23,0.042041,ironisch
224,16,150,3,2,0,0,0,0,3,1,4,0,1,0,9,1,0,13,0.018678,normal
590,6,467,4,4,0,0,1,0,11,4,10,3,5,0,27,1,0,13,0.002126,normal
730,11,536,9,5,0,2,1,0,13,9,17,1,5,0,33,3,0,18,0.092486,normal
576,19,395,8,1,0,0,5,2,5,2,10,0,5,0,27,4,0,28,0.020501,ironisch
613,20,417,7,9,12,2,1,0,8,10,16,1,2,1,22,1,0,21,0.7925,ironisch
794,18,573,10,10,0,0,5,2,15,19,16,0,2,0,26,0,1,30,0.113939,ironisch
1367,37,1001,13,6,0,2,11,4,18,15,23,1,7,0,51,1,0,53,0.010731,normal
318,8,227,3,1,0,3,0,0,2,5,4,0,3,0,10,1,0,12,0.045027,normal
2337,61,1709,43,19,1,0,2,2,29,9,55,1,13,0,131,30,1,67,0.006345,normal
2273,41,1638,20,19,2,0,12,2,29,22,42,1,18,0,96,18,0,92,0.010465,ironisch
8398,355,6070,85,43,0,1,33,2,110,105,178,4,65,0,416,31,11,269,0.000762,normal
2099,55,1443,96,19,0,6,22,12,37,25,39,5,14,0,100,1,0,65,0.147216,ironisch
269,12,184,4,0,0,2,2,0,7,2,2,1,3,0,11,0,0,12,0.210363,normal
618,9,461,9,4,0,0,2,2,6,11,17,0,1,0,17,2,0,20,0.019426,normal
739,14,544,8,2,0,0,1,0,9,12,17,1,8,0,19,3,0,33,0.007985,normal
675,16,506,9,6,0,0,2,0,11,3,18,0,6,0,39,1,0,15,0.031107,normal
404,31,285,2,3,1,3,0,0,7,1,7,0,4,0,21,0,0,9,0.054835,ironisch
392,10,291,1,1,1,3,0,0,4,2,8,2,3,0,21,2,0,15,0.162908,ironisch
598,22,432,11,6,1,0,1,0,11,6,6,1,4,0,34,1,0,14,0.005532,normal
1011,23,763,7,4,0,0,8,8,18,13,21,2,12,0,48,1,0,26,0.023611,normal
4020,98,2966,50,23,3,6,31,10,59,55,81,4,20,1,165,7,5,137,0.029419,ironisch
929,29,658,5,7,0,3,9,6,8,11,21,1,5,0,29,7,0,41,0.012594,ironisch
817,20,599,11,2,0,0,1,0,8,18,16,0,6,0,25,3,3,33,0.005418,normal
2234,53,1671,14,25,3,0,10,0,25,25,30,0,22,0,95,2,3,76,0.005692,normal
944,26,686,19,8,1,0,8,2,9,9,9,0,9,1,43,2,0,31,0.006382,ironisch
620,25,457,5,12,0,0,0,0,8,5,11,0,6,0,31,2,0,16,0.241887,normal
2381,67,1797,7,23,0,5,4,0,33,17,45,1,20,0,129,3,1,49,0.020437,normal
275,9,199,4,1,0,0,0,0,6,4,7,0,2,0,10,1,0,10,0.013454,normal
602,21,432,10,1,1,0,6,2,8,9,14,2,4,0,24,1,0,15,0.06806,ironisch
4604,97,3365,48,61,2,0,7,2,58,67,107,0,33,0,177,9,1,168,0.078116,ironisch
251,9,180,4,1,0,0,2,0,6,2,5,0,3,0,8,0,1,9,0.090228,ironisch
3761,139,2629,44,37,1,2,24,2,61,54,70,3,19,0,151,8,3,137,0.02203,normal
912,30,649,10,6,0,1,11,6,12,12,19,1,7,0,40,4,2,35,0.078168,ironisch
373,9,286,3,1,0,0,1,0,5,2,8,2,3,0,17,1,0,16,0.012746,ironisch
3637,99,2680,39,24,0,2,22,0,69,44,75,6,37,0,153,7,2,126,0.005492,normal
405,5,308,1,3,0,1,3,0,10,1,6,0,2,0,18,0,0,12,0.381035,ironisch
1416,28,1061,20,13,0,1,1,1,21,9,26,0,7,0,73,6,0,40,0.004907,normal
445,4,338,4,4,0,0,0,0,4,8,8,1,5,0,16,2,0,13,0.085386,normal
576,20,423,9,5,0,0,1,0,10,12,12,1,3,0,30,1,2,19,0.052158,normal
1527,47,1119,10,14,0,2,16,2,24,23,22,1,13,0,78,3,0,47,0.05918,ironisch
360,11,266,6,3,0,0,0,0,5,3,9,1,3,1,16,1,0,12,0.012144,normal
3288,55,2494,18,18,0,3,8,0,46,52,61,1,16,0,115,2,0,119,0.0726,ironisch
564,8,417,6,5,0,0,1,0,17,9,13,0,5,0,14,1,0,18,0.023124,normal
771,20,584,5,7,0,1,0,0,15,6,12,1,3,0,30,0,0,29,0.006039,ironisch
1187,35,877,12,5,0,0,5,0,17,12,26,0,11,0,58,2,0,40,0.047992,normal
795,14,595,9,10,0,0,1,0,17,15,16,3,5,0,27,1,0,26,0.017266,normal
3924,83,2925,33,42,2,0,21,6,44,46,71,1,23,0,179,4,1,127,0.003337,ironisch
528,8,405,6,4,0,1,2,0,9,8,14,0,7,0,19,0,0,19,0.04682,normal
337,17,208,3,7,0,0,3,0,5,3,11,0,2,0,22,10,0,7,0.245506,ironisch
386,11,267,5,1,0,3,4,2,7,4,7,0,3,0,13,3,1,18,0.366039,normal
471,17,343,4,2,0,2,2,0,3,4,7,0,2,0,27,0,0,15,0.060275,ironisch
1304,17,983,13,6,0,1,4,2,25,15,30,0,5,0,59,2,0,38,0.296807,normal
416,9,316,5,2,0,0,0,0,7,8,8,0,3,0,13,1,0,17,0.040596,normal
2216,71,1611,22,26,1,0,11,0,34,17,39,1,11,1,109,5,0,66,0.010572,normal
919,11,704,9,10,0,0,4,2,16,9,12,0,6,0,28,0,0,31,0.062584,normal
475,0,365,14,1,0,0,0,0,7,7,11,0,1,0,27,3,0,14,0.267615,normal
504,11,371,9,0,0,0,1,0,8,6,10,2,3,0,26,6,0,15,0.055234,normal
318,8,238,7,0,0,0,2,0,2,5,6,0,1,0,15,0,0,9,0.052987,ironisch
348,18,242,4,1,0,0,3,0,5,8,6,0,5,0,14,3,0,17,0.192591,normal
2705,51,1971,33,17,0,1,18,0,42,32,66,3,27,0,117,7,1,85,0.160731,normal
754,33,494,14,15,0,7,2,0,8,7,8,0,10,2,57,1,0,24,0.976791,ironisch
3806,78,2869,32,29,0,2,31,22,67,39,85,1,14,1,163,2,3,101,0.000257,normal
337,5,251,5,2,0,0,1,0,7,7,9,0,3,0,12,0,0,7,0.006725,normal
462,9,353,4,0,0,0,0,0,10,4,10,1,2,0,21,1,2,10,0.002511,normal
669,21,473,8,9,0,0,4,0,12,14,11,1,7,0,25,2,0,20,0.029356,normal
2317,49,1674,22,15,1,3,27,12,45,30,41,3,23,1,99,3,2,64,0.02876,normal
2478,51,1853,26,7,3,0,9,2,37,37,51,1,17,0,102,2,2,86,0.211851,ironisch
528,9,384,7,3,2,0,7,4,8,4,13,0,4,0,24,1,0,14,0.053885,normal
597,17,429,8,0,0,0,3,0,13,6,9,2,2,0,31,6,0,17,0.001798,normal
462,12,340,5,1,0,0,0,0,6,3,9,0,6,0,25,0,0,17,0.044488,ironisch
569,11,430,8,0,0,3,0,0,9,12,14,2,1,0,18,3,1,19,0.01929,normal
1587,40,1166,17,8,1,1,8,2,20,17,32,1,13,0,69,2,0,56,0.017398,normal
273,12,195,2,1,0,1,3,0,5,3,7,1,3,0,10,3,1,8,0.028607,ironisch
1095,21,801,29,1,0,3,1,0,11,9,20,1,6,0,57,7,1,30,0.261071,ironisch
1111,34,805,22,2,0,0,8,4,14,13,22,1,5,0,56,2,0,39,0.47441,ironisch
1268,24,973,12,7,0,0,4,0,17,23,32,2,5,0,58,1,0,33,0.009564,normal
292,21,201,2,2,0,1,0,0,5,3,6,0,0,0,14,2,0,7,0.07524,ironisch
513,8,364,7,4,0,0,2,0,12,8,9,0,7,0,13,3,0,20,0.012044,normal
154,1,118,1,3,0,0,0,0,6,1,2,0,1,0,5,0,0,4,0.050584,normal
2558,34,1943,29,20,0,0,12,4,42,32,49,2,15,0,111,2,2,72,0.003637,ironisch
983,21,721,8,15,0,0,9,2,12,11,23,1,5,0,43,1,0,38,0.0155,ironisch
2081,44,1538,12,29,2,1,13,6,28,21,31,1,13,0,78,2,0,68,0.011511,normal
886,22,650,6,10,0,0,2,0,14,12,24,0,7,0,34,6,1,25,0.013715,ironisch
305,2,241,2,0,0,0,0,0,6,1,8,0,3,0,10,2,0,9,0.027417,normal
358,10,246,5,5,0,1,2,0,5,3,9,1,2,0,10,1,0,20,0.065222,normal
3733,86,2673,36,26,1,1,38,26,60,51,87,2,20,1,122,14,2,136,0.002071,normal
1428,18,1074,12,10,0,2,1,0,26,17,41,3,11,0,57,1,2,53,0.020633,normal
1290,34,951,10,19,0,0,11,6,17,13,27,2,10,0,75,3,2,27,0.047413,normal
838,32,592,12,6,0,0,5,0,14,16,20,1,4,0,34,2,0,28,0.00648,normal
4557,119,3375,42,38,6,1,24,14,54,42,62,3,28,0,195,9,1,137,0.019393,ironisch
4086,127,2978,30,26,2,2,7,2,47,47,80,1,14,0,183,11,1,139,0.003117,normal
1568,51,1165,20,8,0,0,2,2,18,9,29,0,5,0,80,2,0,49,0.10322,ironisch
222,7,163,3,0,0,2,0,0,1,8,1,0,3,0,8,2,0,8,0.03875,ironisch
1319,62,946,9,3,0,1,8,0,13,13,19,0,17,0,87,1,0,43,0.025321,normal
2004,73,1429,26,11,0,0,16,6,28,30,35,0,18,0,98,7,0,62,0.099232,normal
147,6,94,4,5,0,0,2,0,3,0,5,0,0,2,6,0,0,5,0.035182,ironisch
1642,44,1235,10,17,0,2,5,2,31,8,45,0,9,0,76,3,0,42,0.002686,normal
146,2,110,2,0,0,0,2,0,0,2,5,0,0,0,7,0,0,4,0.072883,ironisch
929,30,689,8,1,0,0,5,2,9,10,18,0,3,0,47,0,0,36,0.318022,ironisch
248,8,182,3,4,0,0,0,0,3,1,6,0,2,0,9,0,0,9,0.018777,normal
538,9,394,7,7,1,0,0,0,8,5,15,0,1,0,17,0,0,21,0.848175,ironisch
526,4,390,3,2,0,0,5,2,10,4,12,2,3,0,15,0,0,21,0.256036,ironisch
7267,500,4801,96,28,2,2,52,22,96,76,102,7,54,0,447,62,8,180,0.002326,normal
4467,104,3298,34,25,0,0,39,12,55,57,91,3,41,0,143,9,6,201,0.004387,normal
871,12,660,9,6,1,1,3,0,11,7,21,1,6,0,34,0,0,35,0.04418,ironisch
1619,32,1172,18,11,0,1,11,0,32,30,29,2,14,0,48,8,0,60,0.026743,normal
618,18,442,9,7,0,0,0,0,8,6,7,1,5,0,28,4,0,24,0.054322,normal
1957,59,1413,17,11,0,10,1,0,27,25,44,0,13,0,77,12,1,70,0.044313,normal
386,6,295,6,3,0,0,1,0,12,5,6,1,2,0,16,0,0,9,0.016562,normal
602,9,449,6,4,0,1,1,0,5,11,11,0,8,0,26,5,0,18,0.001786,normal
463,9,344,4,8,0,0,3,0,5,6,6,0,3,0,18,0,1,15,0.079499,ironisch
3316,151,2441,30,17,3,0,2,0,46,56,57,6,24,1,173,18,4,85,0.021337,normal
1069,16,798,7,19,0,0,5,0,19,13,19,0,13,0,54,2,1,24,0.002512,normal
915,20,686,9,7,0,0,4,0,15,11,24,0,8,0,46,1,2,27,0.073909,ironisch
1722,37,1288,16,19,0,2,3,0,32,28,33,1,14,0,67,3,3,60,0.019601,normal
3331,80,2491,26,46,0,0,11,4,38,23,62,1,15,0,163,8,2,101,0.006435,normal
306,7,228,4,1,0,1,0,0,3,7,8,0,2,0,13,0,0,12,0.024797,normal
1022,23,722,17,7,0,0,18,14,16,7,17,1,3,0,42,1,0,31,0.01774,ironisch
1003,20,771,11,4,0,0,1,0,20,14,18,1,9,0,48,2,0,30,0.003576,normal
936,18,693,9,15,0,0,6,0,10,17,14,0,3,0,36,1,0,36,0.044713,normal
2647,83,1861,27,24,6,5,25,18,23,33,49,3,18,1,130,13,2,99,0.038381,ironisch
552,6,419,4,4,0,0,1,0,8,3,9,0,5,0,25,1,0,20,0.0053,normal
1308,43,946,17,10,2,0,6,0,15,12,32,0,6,1,53,1,0,49,0.025802,normal
238,4,178,3,2,0,1,0,0,4,4,4,0,2,0,5,1,0,9,0.004924,normal
981,21,726,9,10,0,5,5,0,12,16,19,0,8,0,48,2,0,25,0.028012,ironisch
2295,39,1724,12,26,4,0,14,8,41,23,33,3,18,0,92,4,0,67,0.007333,normal
673,19,496,11,2,0,1,3,0,11,9,14,0,5,0,24,0,2,27,0.008403,normal
757,16,565,9,2,0,1,0,0,12,15,20,0,6,0,29,1,0,26,0.004292,normal
2528,77,1823,30,27,3,0,12,0,31,40,51,5,19,1,98,11,1,91,0.061303,ironisch
1315,34,957,25,7,0,0,4,4,19,17,29,1,14,1,57,1,2,49,0.258917,normal
299,5,226,5,0,0,0,0,0,9,4,10,0,4,0,13,0,0,8,0.04521,normal
783,22,573,8,7,0,0,3,0,11,7,11,0,6,0,42,5,0,24,0.113938,ironisch
247,7,175,4,3,0,0,1,0,2,1,7,0,3,0,7,4,0,11,0.023453,ironisch
1577,60,1130,10,10,1,0,17,8,29,23,21,1,11,0,71,4,2,43,0.070285,ironisch
1038,21,763,10,1,4,0,12,8,10,15,13,0,7,0,44,3,1,39,0.611419,ironisch
1689,45,1240,14,22,0,3,2,0,25,20,37,1,13,0,64,3,1,70,0.026307,normal
2914,242,1868,30,36,1,7,45,40,34,29,47,2,15,1,147,4,1,94,0.005544,normal
675,21,487,6,6,0,0,4,0,8,6,19,0,5,0,26,4,0,21,0.064251,normal
572,24,393,9,10,1,3,2,0,7,5,9,0,5,1,33,1,0,17,0.429846,ironisch
1806,36,1313,33,25,0,0,9,6,20,25,30,1,16,0,68,1,0,63,0.198611,ironisch
283,10,197,4,5,0,0,0,0,2,3,7,0,3,0,16,0,1,6,0.012624,ironisch
1032,24,745,12,11,0,2,6,0,6,12,22,0,7,0,43,0,0,44,0.020061,normal
306,4,228,4,3,0,0,0,0,8,2,6,1,4,0,13,3,0,9,0.017884,normal
454,16,337,7,1,0,0,3,0,7,7,13,0,3,0,21,0,0,15,0.012856,normal
1173,42,829,10,12,0,5,10,6,23,20,22,1,8,0,43,3,0,34,0.064634,normal
7619,221,5659,78,57,0,1,17,4,126,83,162,8,57,0,370,27,13,231,0.001078,normal
916,14,685,14,10,0,0,0,0,10,11,21,0,3,0,34,1,1,36,0.010176,ironisch
173,0,126,2,2,0,0,2,0,2,5,7,0,1,0,5,2,0,5,0.330316,normal
410,10,293,5,7,0,0,1,0,6,2,7,0,6,0,20,2,0,11,0.117011,ironisch
808,30,538,9,6,0,0,3,0,14,7,21,0,7,0,33,13,0,28,0.039812,normal
3384,40,2533,29,28,5,3,16,6,49,55,71,0,28,1,125,7,1,116,0.015213,normal
504,6,380,2,3,0,3,4,0,10,5,14,0,2,0,20,0,1,18,0.056152,normal
488,12,339,8,4,0,0,4,0,7,11,11,0,2,0,17,2,0,20,0.137156,normal
309,5,214,4,6,0,1,0,0,3,4,6,0,3,0,9,2,0,14,0.129715,normal
3476,61,2582,28,51,2,2,12,4,60,46,55,2,24,2,147,7,1,108,0.000565,ironisch
2282,59,1689,19,14,0,2,7,0,32,30,41,2,20,3,94,18,1,96,0.040671,ironisch
212,7,152,3,1,0,0,1,0,3,2,3,0,1,0,8,1,0,7,0.011854,normal
1025,29,758,12,9,0,0,1,0,25,10,22,3,8,0,46,1,0,36,0.004408,normal
193,3,148,2,2,0,0,2,0,3,1,3,1,0,0,7,0,1,7,0.475958,ironisch
940,45,634,21,5,0,6,3,2,15,12,10,0,7,0,35,3,0,40,0.132529,normal
500,10,383,6,1,0,0,2,0,8,10,8,0,2,0,19,2,0,16,0.03785,ironisch
6309,253,4556,78,6,0,4,28,4,113,109,146,7,55,0,260,12,2,225,0.007914,normal
188,8,133,6,0,0,0,1,0,4,3,3,0,2,0,5,0,0,7,0.042798,ironisch
3387,71,2431,41,29,0,3,25,0,54,37,83,7,21,1,131,14,1,117,0.003431,normal
598,7,463,5,5,0,0,1,0,4,10,12,0,3,0,21,0,0,22,0.003486,normal
2250,73,1602,23,27,2,7,20,4,36,23,45,0,15,1,102,4,1,63,0.025963,normal
127,2,96,2,0,0,0,0,0,2,1,2,0,3,0,8,1,0,3,0.009151,normal
1369,40,987,15,9,0,1,11,2,15,20,34,0,10,1,82,2,1,42,0.461998,ironisch
584,23,422,10,2,0,0,0,0,8,9,14,0,4,0,29,1,0,20,0.017503,ironisch
833,22,613,11,4,0,0,3,0,15,7,21,0,6,0,33,2,1,31,0.004808,normal
1522,77,1073,14,14,0,3,10,0,17,18,29,1,12,0,73,2,0,53,0.157072,ironisch
754,17,553,10,1,0,0,1,0,12,5,19,0,7,0,25,1,0,32,0.064773,ironisch
954,48,688,6,9,0,0,1,0,15,8,20,4,2,1,37,2,1,29,0.027614,normal
971,30,700,10,15,0,2,7,0,17,13,18,0,10,0,33,0,0,35,0.113851,normal
338,8,254,4,3,0,0,0,0,0,3,8,0,1,0,16,0,0,13,0.029035,ironisch
910,10,713,6,8,0,6,0,0,18,6,17,1,9,0,36,0,0,24,0.180103,normal
2229,52,1691,25,12,0,0,5,0,32,31,35,4,14,0,86,1,0,79,0.002192,normal
2136,65,1569,21,23,0,1,2,0,34,33,36,0,12,0,78,4,3,70,0.002655,ironisch
556,0,431,8,4,0,0,0,0,10,6,13,1,3,0,22,2,0,23,0.052967,normal
341,11,224,4,6,0,0,4,2,2,8,8,0,1,0,12,2,0,11,0.011553,normal
179,6,130,1,1,1,0,1,0,2,5,4,0,0,0,9,0,0,5,0.626571,ironisch
1638,34,1267,18,5,0,2,2,0,24,16,24,1,16,1,73,0,1,49,0.004307,normal
4117,135,3010,29,35,0,0,6,4,51,61,85,1,28,0,191,14,1,143,0.018965,normal
1379,27,993,19,11,1,0,9,2,24,15,27,1,7,1,55,9,2,41,0.02414,normal
620,476,0,4,5,1,1,2,0,0,1,3,0,1,0,93,0,0,9,0.041828,ironisch
302,3,227,6,2,1,1,1,0,6,3,5,0,5,0,15,0,0,9,0.162613,ironisch
501,22,355,9,1,2,0,1,0,11,5,10,0,2,0,20,3,1,19,0.076039,ironisch
652,19,487,4,4,0,0,3,0,8,17,9,1,3,0,28,1,1,25,0.13694,normal
161,4,111,4,1,0,0,2,0,3,2,2,0,1,0,6,0,0,7,0.11174,normal
1650,50,1165,23,11,0,0,17,0,23,21,23,1,16,1,57,9,1,64,0.013361,normal
1557,34,1160,9,16,0,1,7,0,16,19,38,2,14,0,62,4,0,58,0.006204,normal
1216,43,864,8,11,0,2,21,14,21,11,22,2,5,0,57,2,1,28,0.299467,ironisch
1123,19,846,10,8,1,0,4,2,13,15,26,0,8,0,54,1,0,28,0.052607,ironisch
1682,53,1207,13,15,1,5,13,10,21,15,34,0,14,0,75,12,3,47,0.090772,ironisch
587,11,446,7,2,0,0,1,0,8,5,12,0,3,0,25,0,0,17,0.030334,ironisch
211,3,160,2,0,1,0,0,0,4,0,6,0,3,0,9,0,0,8,0.049096,normal
1586,47,1135,10,16,0,0,5,0,25,14,31,1,31,0,102,0,2,26,0.055803,normal
1599,23,1181,16,10,1,1,11,2,21,12,40,2,13,0,79,3,0,56,0.173272,ironisch
620,26,415,29,4,0,0,4,0,5,9,8,0,9,1,26,0,1,22,0.228037,normal
996,33,746,11,10,0,0,0,0,17,8,11,1,5,0,49,1,0,32,0.020425,ironisch
1205,18,904,11,6,0,1,6,0,23,13,21,5,11,1,47,7,1,40,0.024756,normal
273,2,194,7,1,0,6,0,0,5,6,5,1,3,0,10,2,0,7,0.068052,normal
1255,50,902,9,5,1,11,6,2,19,17,24,0,7,0,68,3,1,34,0.236902,ironisch
876,92,598,6,2,1,1,0,0,5,9,12,0,6,0,49,0,1,34,0.793153,ironisch
844,18,643,5,6,0,1,0,0,17,8,13,0,4,0,37,2,1,24,0.137178,ironisch
209,7,155,3,1,0,0,0,0,5,3,7,1,1,0,8,0,0,5,0.008306,normal
3203,91,2391,27,26,0,6,11,0,34,33,61,0,16,0,146,13,0,107,0.225864,ironisch
521,29,364,8,1,0,3,4,0,4,6,10,0,4,0,26,2,0,19,0.012342,normal
131,7,89,2,0,0,1,2,2,2,1,2,0,1,0,7,1,0,4,0.110595,ironisch
1524,22,1157,13,19,0,0,3,2,21,9,38,0,7,0,66,2,3,46,0.024945,ironisch
3205,46,2441,31,42,0,0,10,4,45,30,60,1,22,0,134,2,2,105,0.031334,normal
4267,139,3083,58,42,17,1,26,0,41,73,56,2,32,6,157,2,2,163,0.118918,ironisch
1029,49,742,10,9,0,0,0,0,11,14,24,0,8,0,56,1,0,33,0.027585,normal
330,8,248,3,0,1,0,0,0,10,5,6,1,1,0,12,0,0,10,0.055624,ironisch
320,7,228,2,5,0,3,2,0,6,5,8,0,4,0,14,0,0,11,0.041113,normal
975,29,720,6,8,0,1,6,2,11,18,19,2,11,0,37,3,0,29,0.001772,normal
841,47,569,13,7,0,3,2,0,7,13,19,0,4,0,45,5,0,24,0.031902,normal
1129,19,839,7,17,0,2,5,0,12,12,17,0,9,0,56,1,1,31,0.017932,normal
11015,278,8047,128,120,0,3,65,16,145,119,246,12,60,1,476,39,12,349,0.000895,normal
1164,19,863,19,5,0,0,7,0,19,26,14,0,13,0,26,0,0,50,0.012297,normal
713,34,511,5,6,0,0,2,0,10,7,15,0,6,0,43,2,0,16,0.030785,normal
638,6,477,5,4,1,0,4,2,9,6,11,1,5,0,26,7,0,21,0.005461,ironisch
486,12,358,3,5,0,2,0,0,6,2,7,0,3,0,22,3,0,15,0.054654,normal
175,4,132,2,1,0,0,0,0,4,1,2,0,1,0,8,0,0,6,0.015033,normal
131,7,95,2,1,0,0,1,0,1,3,1,0,0,0,7,0,0,5,0.024758,normal
441,11,341,4,6,0,0,2,0,3,3,7,0,5,0,22,2,0,8,0.019514,ironisch
301,8,215,5,0,0,0,5,2,6,4,7,0,3,0,12,0,0,15,0.39466,ironisch
910,59,643,15,8,0,0,5,2,10,4,18,1,4,0,57,0,1,30,0.042885,normal
243,8,171,5,1,0,1,0,0,0,0,5,0,1,1,12,2,0,10,0.038604,ironisch
1369,17,1044,11,3,0,0,5,2,22,13,41,1,12,0,62,4,0,38,0.006243,normal
446,8,334,6,2,0,1,0,0,5,7,7,0,3,0,18,0,1,18,0.165527,ironisch
2817,86,2101,30,17,0,0,16,4,46,29,40,0,21,0,143,4,0,84,0.023479,normal
128,1,97,1,0,0,0,1,0,2,2,3,0,0,0,6,0,0,3,0.02009,ironisch
148,4,106,1,4,0,0,1,0,4,3,2,0,2,0,7,0,0,4,0.020954,normal
888,17,691,6,5,0,1,1,0,19,10,20,0,9,0,32,2,0,22,0.041634,normal
1992,64,1439,34,15,0,0,10,2,21,32,39,0,16,0,102,5,0,66,0.023076,ironisch
177,0,136,2,0,0,0,2,0,4,0,4,0,2,0,9,0,0,6,0.023188,normal
362,18,266,5,0,0,0,0,0,8,4,9,0,1,0,20,2,2,10,0.004815,normal
133,3,96,1,1,0,1,0,0,3,1,4,0,2,0,7,0,0,3,0.033642,normal
270,3,200,3,2,0,0,1,0,8,7,6,2,2,0,8,1,0,8,0.017002,normal
2018,32,1512,12,11,0,1,6,0,31,23,39,3,19,0,68,9,0,75,0.003123,normal
1012,40,690,28,0,2,0,8,0,19,18,22,1,8,0,49,1,1,31,0.149361,ironisch
629,21,468,6,4,1,0,0,0,8,6,10,0,2,0,27,1,1,24,0.137303,ironisch
4365,103,3239,56,40,0,0,30,10,51,50,90,4,25,0,217,9,1,135,0.007082,normal
746,15,574,8,8,0,0,1,0,17,7,16,0,8,0,36,0,2,14,0.010306,normal
195,4,143,4,1,0,0,0,0,6,5,6,0,2,0,6,0,0,7,0.007344,normal
830,20,579,6,8,0,2,13,6,14,16,15,1,5,0,31,5,0,27,0.196136,normal
631,21,433,14,5,1,3,3,0,5,5,7,1,4,0,28,8,0,20,0.094427,ironisch
170,5,128,0,0,0,3,0,0,1,1,3,0,1,0,11,0,0,5,0.150027,normal
580,117,284,7,6,4,16,7,0,4,8,5,0,2,1,37,1,0,14,0.071465,ironisch
2179,50,1621,24,15,1,0,10,0,23,38,44,0,11,0,88,3,2,78,0.029393,normal
415,12,304,3,4,0,0,3,0,5,8,11,0,2,0,18,1,0,15,0.026713,normal
246,7,179,2,0,0,0,3,0,1,1,3,0,3,0,8,1,0,11,0.007041,normal
1502,36,1101,22,12,0,0,5,4,15,16,28,1,13,0,65,2,2,56,0.1008,ironisch
678,14,494,10,4,0,0,3,0,7,11,16,1,5,0,21,3,0,29,0.040778,normal
253,5,183,4,2,0,1,2,0,6,5,4,0,3,0,8,0,0,9,0.084175,normal
1065,41,792,9,6,3,1,1,0,9,8,22,0,7,1,68,1,0,24,0.139356,ironisch
414,20,305,3,2,0,1,4,2,6,3,6,0,0,0,22,0,2,11,0.043366,ironisch
2022,126,1360,31,16,0,3,3,2,41,30,24,1,10,0,81,18,0,61,0.012561,normal
7545,105,5582,43,63,11,0,27,2,89,93,119,10,64,0,319,48,2,247,0.044542,ironisch
1789,44,1286,22,13,3,0,9,2,21,19,33,0,17,0,84,6,3,61,0.01056,ironisch
966,21,734,16,12,0,0,1,0,13,13,20,0,4,0,36,1,1,32,0.052932,ironisch
525,9,391,7,5,0,0,2,0,11,8,11,1,4,0,19,1,0,18,0.00679,normal
412,19,305,5,4,0,0,1,0,4,5,5,0,1,0,26,2,0,8,0.00939,normal
1309,30,946,11,9,0,5,18,8,21,14,20,0,11,0,61,0,0,40,0.055439,ironisch
2047,43,1448,20,24,3,3,24,8,37,20,34,3,15,2,74,11,1,73,0.012515,ironisch
438,14,325,4,5,0,1,0,0,6,8,9,0,4,0,20,0,0,14,0.053576,normal
1987,22,1530,13,18,1,0,19,0,34,24,30,0,13,0,72,3,1,58,0.057782,ironisch
4122,87,3065,23,52,0,0,23,10,51,42,89,1,36,0,189,8,2,112,0.004377,normal
420,7,306,3,5,0,0,4,0,8,11,6,0,1,0,11,0,0,17,0.045035,normal
613,4,475,4,3,0,0,1,1,6,5,10,0,3,0,15,1,0,30,0.007716,normal
186,8,130,3,1,0,0,0,0,2,1,6,0,1,0,7,1,0,6,0.005815,normal
